Scheme Name,Category,Min Investment (₹),Risk Level,1Y Returns (%),3Y Returns (%),5Y Returns (%),Expense Ratio (%),AUM (Cr),Investment Type,Scheme Type,ISIN,SIP Available
SBI Short Term Debt Fund - Direct (G),Short Duration Fund,5000,Moderate,8.31,6.61,6.43,0.39,13522.75,Growth,Active Fund,INF200K01VE4,Yes
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration IF-Dir (G),Index Fund,100,Moderate,8.31,,,0.2,154.65,Growth,Passive Fund,INF754K01RK5,Yes
Invesco India Largecap Fund - Direct(G),Large Cap Fund,1000,Very High,8.31,14.03,16.42,0.75,1301.33,Growth,Active Fund,INF205K01LB0,Yes
DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund-Dir (G),Index Fund,100,Moderate,8.31,,,0.16,95.73,Growth,Passive Fund,INF740KA1SH4,Yes
JM Medium to Long Duration Fund - Direct (G),Medium to Long Duration Fund,1000,Moderate,8.31,5.84,5.87,0.56,26.21,Growth,Active Fund,INF192K01CW5,Yes
Bandhan Income Plus Arbitrage FoF - Dir (G),FoFs Domestic,1000,Moderately Low,8.31,6.43,6.45,0.07,110.6,Growth,Active Fund,INF194K01U72,Yes
ICICI Pru Corporate Bond Fund - Direct (G),Corporate Bond Fund,100,Moderately Low,8.3,7.15,7.04,0.35,29133.56,Growth,Active Fund,INF109K016B1,Yes
Baroda BNP Paribas NIFTY SDL Dec 2026 Index Fund-Dir (G),Index Fund,5000,Moderate,8.3,,,0.19,115.16,Growth,Passive Fund,INF251K01RL0,Yes
Bandhan Equity Savings Fund - Direct (G),Equity Savings,1000,Moderately Low,8.3,7.99,8.7,0.19,265.26,Growth,Active Fund,INF194K01Z02,Yes
Bandhan Credit Risk Fund - Dir (G),Credit Risk Fund,1000,Moderate,8.3,6.53,6.3,0.69,289.52,Growth,Active Fund,INF194KA1X61,Yes
Aditya Birla SL Govt Securities Fund-Dir (G),Gilt Fund,1000,Moderate,8.29,6.64,6.86,0.49,2027.35,Growth,Active Fund,INF209K01XP7,Yes
Bandhan Bond Fund - MTP - Direct (G),Medium Duration Fund,1000,Moderate,8.29,5.89,6.08,0.6,1469.12,Growth,Active Fund,INF194K01S50,Yes
DSP Midcap Fund - Direct (G),Mid Cap Fund,100,Very High,8.28,14.81,16.7,0.77,17762.02,Growth,Active Fund,INF740K01PX1,Yes
Union Corporate Bond Fund - Direct (G),Corporate Bond Fund,1000,Moderate,8.28,6.04,6.07,0.39,331.08,Growth,Active Fund,INF582M01DU5,Yes
Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:40 Index Fund-Dir (G),Index Fund,5000,Moderate,8.28,,,0.22,868.09,Growth,Passive Fund,INF277KA1372,Yes
Invesco India Banking & PSU Fund - Direct (G),Banking and PSU Fund,1000,Moderate,8.28,5.79,5.86,0.25,100.1,Growth,Active Fund,INF205K01KT4,Yes
Canara Robeco Equity Hybrid Fund - Direct (G),Aggressive Hybrid Fund,5000,Very High,8.27,12.02,14.51,0.64,10443.66,Growth,Active Fund,INF760K01EZ8,Yes
HSBC Managed Solutions Conservative Fund - Dir (G),FoFs Domestic,5000,Moderate,8.26,6.93,6.76,0.51,21.13,Growth,Active Fund,INF336L01IP7,Yes
Mirae Asset Banking and PSU Fund-Dir (G),Banking and PSU Fund,5000,Moderate,8.26,6.26,,0.37,49.03,Growth,Active Fund,INF769K01FY9,Yes
Tata Gilt Securities Fund - Direct (G),Gilt Fund,5000,Moderately Low,8.26,7.3,6.15,0.28,1073.17,Growth,Active Fund,INF277K01OX7,Yes
Nippon India Nifty G-Sec-Oct2028 Maturity Index Fund-Dir (G),Index Fund,1000,Moderate,8.26,,,0.2,118.69,Growth,Passive Fund,INF204KC1AO5,Yes
ICICI Pru Nifty PSU Bond Plus SDL Sep 2027 40:60 IF-Dir (G),Index Fund,1000,Moderate,8.25,5.97,,0.2,8795.49,Growth,Passive Fund,INF109KC1S88,Yes
Franklin India G-Sec Fund - Direct (G),Gilt Fund,10000,Moderate,8.25,5.75,5.2,0.6,151.88,Growth,Active Fund,INF090I01HS2,Yes
Union Gilt Fund - Direct (G),Gilt Fund,1000,Moderate,8.25,,,0.7,113.83,Growth,Active Fund,INF582M01HW2,Yes
AXIS Equity Savings Fund - Direct (G),Equity Savings,500,Moderately High,8.25,9.84,10.38,0.96,967.8,Growth,Active Fund,INF846K01VJ3,Yes
DSP Banking & Psu Debt Fund - Direct (G),Banking and PSU Fund,100,Moderately Low,8.24,6.49,6.45,0.32,2978.46,Growth,Active Fund,INF740K01ZW2,Yes
Tata Short Term Bond Fund - Direct (G),Short Duration Fund,5000,Moderately Low,8.24,6.66,6.56,0.36,2720.05,Growth,Active Fund,INF277K01QR4,Yes
Aditya Birla SL Nifty SDL Apr 2027 Index Fund-Dir (G),Index Fund,500,Moderate,8.24,6.07,,0.2,4149.62,Growth,Passive Fund,INF209KB11F3,Yes
Franklin India Equity Savings Fund - Dir (G),Equity Savings,5000,Moderate,8.23,8.75,9.85,0.32,655.0,Growth,Active Fund,INF090I01PD7,Yes
Canara Robeco Income Fund - Direct (Growth),Medium to Long Duration Fund,5000,Moderate,8.23,6.27,6.14,0.77,117.46,Growth,Active Fund,INF760K01FI1,Yes
AXIS CRISIL IBX 50:50 Gilt Plus SDL Sep 2027 Index Fund-Dir (G),Index Fund,5000,Moderate,8.23,,,0.15,32.44,Growth,Passive Fund,INF846K012O1,Yes
ICICI Pru Banking & PSU Debt Fund - Direct (G),Banking and PSU Fund,500,Moderately Low,8.23,7.1,6.81,0.39,9979.91,Growth,Active Fund,INF109K010A6,Yes
Kotak Equity Arbitrage Fund - Direct (G),Arbitrage Fund,100,Low,8.23,7.29,6.24,0.43,57567.02,Growth,Active Fund,INF174K01LC6,Yes
LIC MF Banking & PSU Fund - Direct (G),Banking and PSU Fund,5000,Moderate,8.22,6.49,6.05,0.28,1868.11,Growth,Active Fund,INF767K01GI4,Yes
Bandhan CRISIL IBX Gilt April 2028 Index Fund - Direct (G),Index Fund,1000,Moderate,8.22,6.18,,0.19,4704.16,Growth,Passive Fund,INF194KB1BV1,Yes
Invesco India Short Duration Fund - Direct (G),Short Duration Fund,1000,Moderate,8.22,6.31,6.24,0.35,471.03,Growth,Active Fund,INF205K01UH8,Yes
UTI-Medium Duration Fund - Direct (G),Medium Duration Fund,500,Moderate,8.22,6.29,5.2,0.81,39.35,Growth,Active Fund,INF789FB1KE6,Yes
JM Dynamic Bond Fund - Direct (G),Dynamic Bond,1000,Moderate,8.21,6.63,6.18,0.52,43.74,Growth,Active Fund,INF192K01DD3,Yes
DSP Bond Fund - Direct (G),Medium Duration Fund,100,Moderate,8.21,6.45,6.27,0.4,305.79,Growth,Active Fund,INF740K01MZ3,Yes
Aditya Birla SL Floating Rate Fund-Direct (G),Floater Fund,1000,Moderately Low,8.21,7.11,6.62,0.23,13175.58,Growth,Active Fund,INF209K01UX7,Yes
UTI-Corporate Bond Fund - Direct (G),Corporate Bond Fund,500,Moderate,8.2,6.54,6.53,0.28,4778.69,Growth,Active Fund,INF789F1A538,Yes
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund-Dir (G),Index Fund,100,Moderate,8.19,,,0.2,91.62,Growth,Passive Fund,INF754K01PN3,Yes
UTI-Medium to Long Duration Fund - Direct (G),Medium to Long Duration Fund,500,Moderate,8.19,8.95,8.16,1.18,315.98,Growth,Active Fund,INF789F01SQ6,Yes
Baroda BNP Paribas Banking & PSU Bond Fund - Direct (G),Banking and PSU Fund,5000,Moderately Low,8.18,5.95,,0.39,25.84,Growth,Active Fund,INF955L01KC8,Yes
HDFC Banking and PSU Debt Fund - Direct (G),Banking and PSU Fund,100,Moderately Low,8.18,6.61,6.63,0.39,5864.56,Growth,Active Fund,INF179KA1IZ7,Yes
Quant Gilt Fund - Direct (G),Gilt Fund,5000,Moderate,8.18,,,0.51,121.11,Growth,Active Fund,INF966L01BF7,Yes
Aditya Birla SL Banking&PSU Debt Fund-Dir(G),Banking and PSU Fund,1000,Moderate,8.18,6.6,6.67,0.39,9477.69,Growth,Active Fund,INF209K01YN0,Yes
Tata Floating Rate Fund - Direct (G),Floater Fund,5000,Moderately Low,8.17,6.93,,0.33,161.37,Growth,Active Fund,INF277KA1026,Yes
Nippon India Hybrid Bond Fund - Direct (G),Conservative Hybrid Fund,5000,Very High,8.17,8.36,6.15,1.12,829.16,Growth,Active Fund,INF204K01YV4,Yes
HSBC Short Duration Fund - Direct (G),Short Duration Fund,5000,Moderately Low,8.17,6.22,6.24,0.27,3712.11,Growth,Active Fund,INF917K01IQ4,Yes
HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 IF-Dir (G),Index Fund,100,Moderate,8.17,,,0.2,48.55,Growth,Passive Fund,INF179KC1GA2,Yes
Bandhan CRISIL IBX 90:10 SDL Plus Gilt-Nov 2026 Index Fund-Dir (G),Index Fund,1000,Moderately Low,8.16,,,0.08,114.31,Growth,Passive Fund,INF194KB1ET9,Yes
Mahindra Manulife Consumption Fund - Dir (G),Sectoral / Thematic,1000,Very High,8.16,17.45,15.54,0.64,434.8,Growth,Active Fund,INF174V01663,Yes
SBI Banking and PSU Fund - Direct (G),Banking and PSU Fund,5000,Moderate,8.16,6.3,6.21,0.39,3787.3,Growth,Active Fund,INF200K01V08,Yes
Invesco India Arbitrage Fund - Direct (G),Arbitrage Fund,1000,Low,8.16,7.47,6.3,0.39,18673.68,Growth,Active Fund,INF205K01KR8,Yes
AXIS Nifty SDL September 2026 Debt Index Fund-Dir (G),Index Fund,5000,Moderately Low,8.16,,,0.17,74.64,Growth,Passive Fund,INF846K018K6,Yes
Mirae Asset Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,8.16,7.13,,0.16,2900.03,Growth,Active Fund,INF769K01FS1,Yes
Nippon India Banking & PSU Debt Fund - Dir (G),Banking and PSU Fund,5000,Moderate,8.15,6.49,6.72,0.38,5721.13,Growth,Active Fund,INF204KA1U53,Yes
Edelweiss Arbitrage Fund - Direct (G),Arbitrage Fund,100,Low,8.14,7.23,6.28,0.38,12905.8,Growth,Active Fund,INF754K01EA4,Yes
UTI-Gilt Fund - Direct (G),Gilt Fund,500,Moderate,8.14,6.77,6.09,0.66,647.81,Growth,Active Fund,INF789F01TL5,Yes
UTI-Banking and Financial Services Fund - Dir (G),Sectoral / Thematic,5000,Very High,8.14,14.26,11.41,1.19,1127.8,Growth,Active Fund,INF789F01SN3,Yes
Kotak Low Duration Fund - Direct (G),Low Duration Fund,100,Moderate,8.14,6.89,6.58,0.42,11882.66,Growth,Active Fund,INF178L01AX4,Yes
UTI-Short Duration Fund - Direct (G),Short Duration Fund,500,Moderate,8.13,6.94,7.85,0.43,2337.67,Growth,Active Fund,INF789F01XY0,Yes
ICICI Pru Bluechip Fund - Direct (G),Large Cap Fund,100,Very High,8.13,16.63,18.35,0.91,63296.96,Growth,Active Fund,INF109K016L0,Yes
Bandhan Arbitrage - Direct (G),Arbitrage Fund,100,Low,8.13,7.1,5.99,0.37,7508.63,Growth,Active Fund,INF194K01Y60,Yes
Franklin India Corporate Debt Fund-Direct (G),Corporate Bond Fund,10000,Moderately Low,8.13,6.43,6.19,0.23,752.85,Growth,Active Fund,INF090I01FW8,Yes
JM Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,1000,Very High,8.13,20.68,22.59,0.66,752.06,Growth,Active Fund,INF192K01BQ9,Yes
Tata Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,8.13,7.14,6.3,0.3,12921.02,Growth,Active Fund,INF277K017Q3,Yes
Nippon India Large Cap Fund - Direct (G),Large Cap Fund,100,Very High,8.12,19.36,18.82,0.71,35667.3,Growth,Active Fund,INF204K01XI3,Yes
Bandhan Dynamic Bond Fund - Direct (G),Dynamic Bond,1000,Moderate,8.12,6.5,6.69,0.71,3073.55,Growth,Active Fund,INF194K01N63,Yes
UTI-Long Duration Fund - Direct (G),Long Duration Fund,5000,Moderate,8.11,,,0.55,121.83,Growth,Active Fund,INF789F1AYB5,Yes
Sundaram Corporate Bond Fund - Direct (G),Corporate Bond Fund,5000,Moderately Low,8.11,6.32,6.42,0.33,712.32,Growth,Active Fund,INF903J01NR4,Yes
HDFC Nifty SDL Oct 2026 Index Fund - Dir (G),Index Fund,100,Moderate,8.1,,,0.2,195.65,Growth,Passive Fund,INF179KC1FI7,Yes
Sundaram Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,100,High,8.1,12.26,14.9,0.82,5435.68,Growth,Active Fund,INF173K01FE6,Yes
Edelweiss ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,8.09,14.68,16.33,0.74,383.46,Growth,Active Fund,INF754K01CA8,Yes
Nippon India Value Fund - Direct (G),Value Fund,500,Very High,8.08,20.43,22.39,1.12,8170.2,Growth,Active Fund,INF204K01K49,Yes
Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 IF-Dir (G),Index Fund,100,Moderate,8.08,5.92,,0.2,2289.93,Growth,Passive Fund,INF754K01MT7,Yes
Aditya Birla SL Arbitrage Fund - Dir (G),Arbitrage Fund,1000,Low,8.08,7.08,6.05,0.29,13920.19,Growth,Active Fund,INF209K01VP1,Yes
HSBC Credit Risk Fund - Direct (G),Credit Risk Fund,5000,Moderately High,8.08,6.62,6.21,0.86,583.92,Growth,Active Fund,INF917K01UH8,Yes
Invesco India Nifty G-sec Jul 2027 Index Fund-Dir (G),Index Fund,1000,Moderate,8.08,,,0.14,69.58,Growth,Passive Fund,INF205KA1775,Yes
ICICI Pru Equity Savings Fund - Dir (G),Equity Savings,5000,Moderately Low,8.08,8.69,8.33,0.5,12788.49,Growth,Active Fund,INF109KA11J9,Yes
ICICI Pru Nifty SDL Sep 2026 Index Fund-Dir (G),Index Fund,1000,Moderately Low,8.08,,,0.19,244.88,Growth,Passive Fund,INF109KC13P8,Yes
PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund-Dir (G),Index Fund,5000,Moderate,8.08,,,0.26,26.45,Growth,Passive Fund,INF663L01X21,Yes
Sundaram Banking & PSU Fund - Direct (G),Banking and PSU Fund,5000,Moderately Low,8.08,6.16,5.71,0.27,336.5,Growth,Active Fund,INF903J01PA5,Yes
Canara Robeco Gilt Fund - Direct (G),Gilt Fund,5000,Moderate,8.07,6.67,6.21,0.54,140.18,Growth,Active Fund,INF760K01FC4,Yes
Groww Short Duration Fund - Direct (G),Short Duration Fund,500,Moderate,8.07,6.2,5.84,0.4,60.56,Growth,Active Fund,INF666M01AC0,Yes
ICICI Pru Savings Fund - Direct (G),Low Duration Fund,100,Moderately Low,8.07,6.97,6.52,0.42,22337.17,Growth,Active Fund,INF109K01O82,Yes
Mirae Asset Low Duration Fund - Direct (G),Low Duration Fund,5000,Moderately Low,8.07,6.77,6.13,0.23,1392.91,Growth,Active Fund,INF769K01BO9,Yes
Nippon India Nifty G-Sec-Sep2027 Maturity Index Fund-Dir (G),Index Fund,1000,Moderate,8.06,,,0.2,401.29,Growth,Passive Fund,INF204KC1881,Yes
Bandhan CRISIL IBX Gilt June 2027 Index Fund - Direct (G),Index Fund,1000,Moderate,8.05,5.92,,0.18,7013.75,Growth,Passive Fund,INF194KB1BP3,Yes
HDFC Nifty G-Sec Jun 2027 Index Fund - Dir (G),Index Fund,100,Moderately High,8.05,,,0.2,742.62,Growth,Passive Fund,INF179KC1EJ8,Yes
Mirae Asset Focused Fund - Direct (G),Focused Fund,5000,Very High,8.05,8.19,15.68,0.56,7663.56,Growth,Active Fund,INF769K01EU0,Yes
Aditya Birla SL Retirement-The 50s Plan-Dir (G),Retirement Fund,1000,Moderately High,8.05,8.01,6.67,0.59,25.53,Growth,Active Fund,INF209KB1J48,Yes
HSBC CRISIL IBX Gilt June 2027 Index Fund-Dir (G),Index Fund,5000,Moderate,8.05,,,0.17,194.8,Growth,Passive Fund,INF336L01QT2,Yes
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Dir (G),Index Fund,500,Moderate,8.05,,,0.2,1680.94,Growth,Passive Fund,INF209KB19H2,Yes
ICICI Pru Equity - Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,8.05,7.04,6.02,0.36,25324.33,Growth,Active Fund,INF109K016O4,Yes
JM Short Duration Fund - Direct (G),Short Duration Fund,1000,Moderate,8.04,,,0.36,117.22,Growth,Active Fund,INF192K01MP8,Yes
HDFC Low Duration Fund - Direct (G),Low Duration Fund,100,Moderate,8.04,6.95,6.65,0.45,18138.21,Growth,Active Fund,INF179K01VF7,Yes
UTI-Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,8.04,6.98,6.03,0.28,6517.6,Growth,Active Fund,INF789FB1RG6,Yes
Sundaram Low Duration Fund - Direct (G),Low Duration Fund,1000,Moderate,8.04,6.87,5.82,0.39,378.14,Growth,Active Fund,INF173K01FS6,Yes
Mirae Asset Dynamic Bond Fund - Direct (G),Dynamic Bond,5000,Moderate,8.04,5.88,6.05,0.16,118.44,Growth,Active Fund,INF769K01DR8,Yes
HDFC Arbitrage Fund - WP - Direct (G),Arbitrage Fund,100,Low,8.04,7.0,5.84,0.41,17654.29,Growth,Active Fund,INF179KA1KT6,Yes
TRUSTMF Banking & PSU Fund - Dir (G),Banking and PSU Fund,1000,Moderate,8.04,5.95,,0.21,192.8,Growth,Active Fund,INF0GCD01107,Yes
Canara Robeco Corporate Bond Fund - Dir (G),Corporate Bond Fund,5000,Moderately Low,8.03,6.23,6.23,0.43,129.15,Growth,Active Fund,INF760K01HB2,Yes
Aditya Birla SL Savings Fund - Direct (G),Ultra Short Duration Fund,1000,Moderate,8.02,6.9,6.29,0.34,16797.94,Growth,Active Fund,INF209K01UR9,Yes
Mahindra Manulife Low Duration Fund - Dir (G),Low Duration Fund,1000,Moderate,8.02,6.81,6.19,0.3,635.32,Growth,Active Fund,INF174V01267,Yes
Nippon India Low Duration Fund - Direct (G),Low Duration Fund,500,Moderately Low,8.02,6.85,6.53,0.38,8111.41,Growth,Active Fund,INF204K01ZU3,Yes
AXIS Arbitrage Fund - Direct (G),Arbitrage Fund,500,Low,8.02,7.03,6.07,0.33,5848.46,Growth,Active Fund,INF846K01PZ1,Yes
AXIS Treasury Advantage Fund - Direct (G),Low Duration Fund,5000,Moderately Low,8.01,6.82,6.32,0.34,5963.66,Growth,Active Fund,INF846K01EN1,Yes
Bandhan Corporate Bond Fund - Direct (G),Corporate Bond Fund,1000,Moderately Low,8.01,6.09,6.57,0.33,13914.4,Growth,Active Fund,INF194KA1M23,Yes
Kotak Nifty SDL Jul 2026 Index Fund-Dir (G),Index Fund,100,Moderately Low,8.0,,,0.2,110.75,Growth,Passive Fund,INF174KA1LC5,Yes
Nippon India USD Fund - Direct (G),Ultra Short Duration Fund,100,Moderate,8.0,7.08,7.0,0.38,7666.37,Growth,Active Fund,INF204K01YH3,Yes
Baroda BNP Paribas Mid Cap Fund - Direct (G),Mid Cap Fund,5000,Very High,8.0,18.79,22.25,0.56,2046.02,Growth,Active Fund,INF251K01HQ0,Yes
Nippon India Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,7.99,7.09,6.14,0.38,14701.22,Growth,Active Fund,INF204K01XZ7,Yes
Aditya Birla SL Low Duration Fund-Dir (G),Low Duration Fund,100,Moderate,7.99,7.0,6.65,0.42,12058.97,Growth,Active Fund,INF209K01XU7,Yes
Nippon India Retirement Fund-IG - Dir (G),Retirement Fund,500,Moderately High,7.98,8.72,8.15,0.97,153.16,Growth,Active Fund,INF204KA1C30,Yes
Tata Small Cap Fund - Direct (G),Small Cap Fund,5000,Very High,7.98,21.16,27.75,0.34,8883.39,Growth,Active Fund,INF277K011O1,Yes
Nippon India Nifty AAA CPSE Bond Plus SDL-Apr2027 Maturity 60:40 IF-Dir(G),Index Fund,1000,Moderately Low,7.98,,,0.15,3438.77,Growth,Passive Fund,INF204KC1527,Yes
SBI Conservative Hybrid Fund - Direct (G),Conservative Hybrid Fund,5000,High,7.98,9.54,10.76,1.05,9760.98,Growth,Active Fund,INF200K01TS8,Yes
Tata Money Market Fund - Direct (G),Money Market Fund,5000,Moderately Low,7.97,7.04,6.29,0.15,27183.89,Growth,Active Fund,INF277K01PR6,Yes
DSP Arbitrage Fund - Direct (G),Arbitrage Fund,100,Low,7.97,6.99,5.87,0.35,6029.71,Growth,Active Fund,INF740KA1DN4,Yes
Quant Multi Asset Fund - Direct (G),Multi Asset Allocation,5000,Very High,7.97,19.3,27.26,0.61,3162.1,Growth,Active Fund,INF966L01580,Yes
Union Arbitrage Fund - Direct (G),Arbitrage Fund,1000,Low,7.96,6.8,5.85,0.41,228.83,Growth,Active Fund,INF582M01ES7,Yes
SBI Arbitrage Opportunities Fund - Direct (G),Arbitrage Fund,5000,Low,7.94,7.14,5.92,0.42,32168.95,Growth,Active Fund,INF200K01QU0,Yes
DSP Corporate Bond Fund - Direct (G),Corporate Bond Fund,100,Moderate,7.94,5.8,5.86,0.28,2610.35,Growth,Active Fund,INF740KA1KE8,Yes
HSBC Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,5000,Moderately High,7.94,11.54,11.16,0.76,1484.41,Growth,Active Fund,INF917K01IN1,Yes
Baroda BNP Paribas Arbitrage Fund - Dir (G),Arbitrage Fund,5000,Low,7.94,6.93,6.02,0.38,1145.91,Growth,Active Fund,INF251K01OT0,Yes
HSBC Low Duration Fund - Direct (G),Low Duration Fund,5000,Moderately Low,7.94,6.81,6.22,0.39,538.02,Growth,Active Fund,INF917K01GM7,Yes
AXIS Banking & PSU Debt Fund - Direct (G),Banking and PSU Fund,5000,Moderate,7.93,6.4,6.28,0.34,12968.72,Growth,Active Fund,INF846K01CR6,Yes
ITI Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,7.92,6.3,5.11,0.21,43.18,Growth,Active Fund,INF00XX01440,Yes
BHARAT Bond FOF - April 2025 - Direct (G),FoFs Domestic,100,Moderately Low,7.92,5.71,,0.06,4178.66,Growth,Active Fund,INF754K01LI2,Yes
Mirae Asset Ultra Short Duration Fund - Dir (G),Ultra Short Duration Fund,5000,Moderate,7.91,6.86,,0.22,1781.56,Growth,Active Fund,INF769K01GK6,Yes
Mirae Asset ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,7.91,13.77,18.94,0.61,24007.47,Growth,Active Fund,INF769K01DM9,Yes
Bandhan Banking & PSU Debt Fund - Direct (G),Banking and PSU Fund,1000,Moderately Low,7.91,6.41,6.48,0.33,13421.64,Growth,Active Fund,INF194K015G8,Yes
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Direct (G),Index Fund,500,Moderately Low,7.9,5.86,,0.2,9598.31,Growth,Passive Fund,INF209KB18B7,Yes
Aditya Birla SL Money Manager Fund - Dir (G),Money Market Fund,1000,Moderate,7.9,6.95,6.22,0.22,25918.85,Growth,Active Fund,INF209K01UU3,Yes
Franklin India Banking & PSU Debt Fund-Direct(G),Banking and PSU Fund,5000,Moderately Low,7.89,6.38,6.09,0.18,595.56,Growth,Active Fund,INF090I01KR8,Yes
Aditya Birla SL Equity Savings Fund - Direct (G),Equity Savings,1000,Moderately High,7.89,7.72,8.63,0.62,650.4,Growth,Active Fund,INF209KA1TP9,Yes
AXIS Money Market Fund - Direct (G),Money Market Fund,5000,Moderately Low,7.88,6.92,6.14,0.16,17744.78,Growth,Active Fund,INF846K01Q62,Yes
Mirae Asset Money Market Fund - Direct (G),Money Market Fund,5000,Moderately Low,7.88,6.76,,0.08,1956.72,Growth,Active Fund,INF769K01HN8,Yes
Canara Robeco Short Duration Fund - Dir (G),Short Duration Fund,5000,Moderately Low,7.88,6.21,6.11,0.43,335.59,Growth,Active Fund,INF760K01DX5,Yes
TRUSTMF Short Duration Fund - Direct (G),Short Duration Fund,1000,Moderately Low,7.87,6.27,,0.23,115.26,Growth,Active Fund,INF0GCD01370,Yes
Canara Robeco Banking and PSU Debt Fund-Dir (G),Banking and PSU Fund,5000,Moderate,7.87,,,0.43,235.1,Growth,Active Fund,INF760K01KC4,Yes
UTI-Banking & PSU Fund - Direct (G),Banking and PSU Fund,500,Moderate,7.87,8.64,7.25,0.36,814.21,Growth,Active Fund,INF789F015Z6,Yes
UTI-Nifty SDL Plus AAA PSU Bond Apr 2026 75:25 Index Fund-Dir (G),Index Fund,5000,Moderate,7.86,,,0.18,178.83,Growth,Passive Fund,INF789F1AXL6,Yes
PGIM India Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,5000,Very High,7.86,9.83,,0.47,977.98,Growth,Active Fund,INF663L01V49,Yes
Tata Treasury Advantage Fund - Direct (G),Low Duration Fund,5000,Moderately Low,7.86,6.61,6.16,0.25,2377.44,Growth,Active Fund,INF277K01OK4,Yes
AXIS Ultra Short Duration Fund - Direct (G),Ultra Short Duration Fund,5000,Moderately Low,7.86,6.93,6.13,0.36,5681.17,Growth,Active Fund,INF846K01F40,Yes
Tata Nifty G-Sec Dec 2026 Index Fund-Dir (G),Index Fund,5000,Moderate,7.86,,,0.14,100.93,Growth,Passive Fund,INF277KA1794,Yes
LIC MF Low Duration Fund - Direct (G),Low Duration Fund,5000,Moderately Low,7.86,6.61,6.23,0.25,1744.95,Growth,Active Fund,INF767K01FM8,Yes
Bandhan Asset Allocation FoF - Moderate - Direct (G),FoFs Domestic,1000,High,7.86,10.19,10.29,0.41,19.54,Growth,Active Fund,INF194K019A3,Yes
Bandhan Conservative Hybrid Fund - Direct (G),Conservative Hybrid Fund,1000,Moderate,7.85,6.73,6.82,0.99,114.73,Growth,Active Fund,INF194K015B9,Yes
Tata Ultra Short Term Fund - Direct (G),Ultra Short Duration Fund,5000,Moderately Low,7.85,6.86,5.98,0.29,4964.54,Growth,Active Fund,INF277K011T0,Yes
Quantum ESG Best In Class Strategy Fund-Dir (G),Sectoral / Thematic,500,Very High,7.85,12.51,16.62,0.74,91.89,Growth,Active Fund,INF082J01382,Yes
Nippon India Money Market Fund - Direct (G),Money Market Fund,500,Moderate,7.84,6.95,6.1,0.25,16582.08,Growth,Active Fund,INF204K01ZP3,Yes
ICICI Pru Ultra Short Term Fund - Direct (G),Ultra Short Duration Fund,5000,Moderate,7.84,6.89,6.37,0.39,13813.18,Growth,Active Fund,INF109K01T04,Yes
SBI Magnum Low Duration Fund - Direct (G),Low Duration Fund,5000,Moderate,7.84,6.72,6.13,0.43,12253.87,Growth,Active Fund,INF200K01VM7,Yes
Aditya Birla SL CRISIL IBX Gilt Apr 2028 IF-Dir (G),Index Fund,500,Moderately Low,7.84,,,0.49,29.49,Growth,Passive Fund,INF209KB11U2,Yes
SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund - Dir (G),Index Fund,5000,Moderately Low,7.83,5.78,,0.22,9348.92,Growth,Passive Fund,INF200KA13D5,No
HDFC Nifty G-Sec Dec 2026 Index Fund - Dir (G),Index Fund,100,Moderate,7.83,,,0.2,1343.4,Growth,Passive Fund,INF179KC1EE9,Yes
Baroda BNP Paribas Conservative Hybrid Fund-Dir (G),Conservative Hybrid Fund,1000,Moderately High,7.83,8.71,8.5,0.61,737.37,Growth,Active Fund,INF251K01HR8,Yes
Kotak Money Market Fund - Direct (G),Money Market Fund,100,Moderate,7.82,6.88,5.96,0.24,26221.11,Growth,Active Fund,INF174K01MW2,Yes
Baroda BNP Paribas Low Duration Fund-Dir (G),Low Duration Fund,5000,Moderate,7.82,6.69,6.36,0.31,226.5,Growth,Active Fund,INF251K01GJ7,Yes
LIC MF Gilt Fund - Direct (G),Gilt Fund,10000,Moderately Low,7.82,6.36,6.2,0.75,103.23,Growth,Active Fund,INF767K01EZ3,Yes
